Name,Phone,Email,Address,Building,Notes
76 Taverns Aliante,,,"7225 Aliante Pkwy, North Las Vegas, NV 89084",,
PARK - Park MGM,,,"3770 S Las Vegas Blvd, Las Vegas, NV 89109, USA",Marketing,
SS - Sunset Station Hotel and Casino,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"1301 W Sunset Rd, Henderson, NV 89014, USA",,
"The Home Depot, 7015 Arroyo Crossing Pkwy, Las Vegas, NV 89",,,"The Home Depot, 7015 Arroyo Crossing Pkwy, Las Vegas, NV 89113",,
76 Tavern Fort Apache,,kim.schlemmer@hhglobal.com,"9660 South Fort Apache Road, Las Vegas, NV 89178",,
76 Tavern Lamb,,kim.schlemmer@hhglobal.com,"2411 W Sahara Ave, Las Vegas, NV 89102, USA",,
76 Taverns Dorrell,,kim.schlemmer@hhglobal.com,"976 West Dorrell Lane, North Las Vegas, NV 89084",,
76 Taverns Tropicana,,kim.schlemmer@hhglobal.com,"9837 W Tropicana Ave, Las Vegas, NV 89147",,
76 Taverns Union Village,,kim.schlemmer@hhglobal.com,"1120 Vitality Drive, Henderson, NV 89011",,
Ace hardware,,,"3665 S Rainbow Blvd 100 A-B, Las Vegas, NV 89103",,
ACES - Las Vegas Aces Headquarters,,,"1415 Raiders Way, Henderson, NV 89052, USA",,
AFC - America First Center,,,"222 S Water St, Henderson, NV 89015, USA",,
Altitude Color,,,"https://www.google.com/maps/dir//Altitude+Color+Technologies,+7175+W+Post+Rd,+Las+Vegas,+NV+89113/@36.0873984,-115.1991808,14z/data=!4m8!4m7!1m0!1m5!1m1!1s0x80c8c67490eaf457:0x1949793a48ffdf17!2m2!1d-115.2478752!2d36.0738169?entry=ttu&g_ep=EgoyMDI2MDMwMi4w",,Deliver to shipping
Altitude Color Technologies,,,"https://www.google.com/maps/dir//Altitude+Color+Technologies,+7175+W+Post+Rd,+Las+Vegas,+NV+89113/@36.0873984,-115.1991808,14z/data=!4m8!4m7!1m0!1m5!1m1!1s0x80c8c67490eaf457:0x1949793a48ffdf17!2m2!1d-115.2478752!2d36.0738169?entry=ttu&g_ep=EgoyMDI2MDMwMi4w",,
ARIA/Vdara,,,"3730 S Las Vegas Blvd, Las Vegas, NV 89158",,
BAR - Barleys,,kim.schlemmer@hhglobal.com greg.smith@hhglobal.com,"4500 E. SUNSET ROAD, Henderson, NV, 89014",,
BELL - Bellagio,,,"3600 S Las Vegas Blvd, Las Vegas, NV 89109",,
BLD - Deep Roots Harvest - Blue Diamond,480 246 2211,matthew.janz@deeprootsharvest.com,"3725 Blue Diamond Rd, Las Vegas, NV 89139, USA",,
Bob Scott-Carma Group,702-885-3222,Bob@carmalv.com,"8675 S Eastern Ave, Las Vegas, NV 89123",,
Bron Tapes,,,"6145 S Valley View Blvd Suite E, Las Vegas, NV 89118",,
